# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 48
1 RADIAL 4032 3040 2372.4009065619339 1958.2010186133941 1513.4678310017923 0.07903080357110645 -0.10982010418694375
2 RADIAL 4032 3040 2373.3796783941743 1979.5531145235543 1446.6553794006545 0.086166876848874654 -0.11485072503211914
3 RADIAL 4032 3040 2371.6721566361211 1965.663845969475 1526.5728620242705 0.083238722266796766 -0.10898577575094816
4 RADIAL 4032 3040 2375.0565999447076 2000.3997330008399 1497.1718779987809 0.08571840033859543 -0.11420941774973106
5 RADIAL 4032 3040 2367.426301942251 1960.6484504826144 1422.5077832928732 0.085607275416153122 -0.11763143645782406
6 RADIAL 4032 3040 2380.6840869191492 2020.6131447158923 1585.6917573879457 0.07292099971754655 -0.094189780076405286
7 RADIAL 4032 3040 2367.4456588323551 1931.6850887521616 1425.5980518090148 0.084919195521900581 -0.11149345687533121
8 RADIAL 4032 3040 2376.4200123781293 1993.8984680860667 1456.3234608950399 0.080292976165517171 -0.10823123230581394
9 RADIAL 4032 3040 2373.570993411437 1901.9853962630793 1561.3758489446707 0.081244488293277697 -0.10925716032114717
10 RADIAL 4032 3040 2373.4784997944462 1967.6486357153594 1525.6979400757152 0.074583540442467344 -0.099996191438417092
11 RADIAL 4032 3040 2378.1646066647218 2001.129578395957 1503.755665141862 0.087939178102485999 -0.12278328299854119
12 RADIAL 4032 3040 2379.1860353767916 1938.8071837142593 1455.6866939407357 0.086926934344599374 -0.12112544335811992
13 RADIAL 4032 3040 2372.2509077149716 1929.1141243015732 1493.9511697950804 0.087409905224600959 -0.1174472942354761
14 RADIAL 4032 3040 2368.235351236508 1915.4918731578964 1517.9298015662109 0.079530642513757216 -0.093500198250223696
15 RADIAL 4032 3040 2378.4899550302812 1984.4340617839023 1430.8728425350648 0.088567119483276655 -0.11743591675995332
16 RADIAL 4032 3040 2378.1487383215172 2004.766814564276 1427.3492153105167 0.082469075906719563 -0.11461630891633956
17 RADIAL 4032 3040 2370.6851794056706 2022.5281207620692 1460.3002602893287 0.099251689434509544 -0.13353092749779302
18 RADIAL 4032 3040 2358.6180248980963 1997.035765437573 1534.9767932171851 0.090419161763430053 -0.12332999580016411
19 RADIAL 4032 3040 2371.5095538200881 2041.5681124652408 1420.7560723678964 0.099221144170013278 -0.13224290233641939
20 RADIAL 4032 3040 2420.5522468858903 1944.9401010867607 1552.5479437344479 0.092892778465775025 -0.13475746529587618
21 RADIAL 4032 3040 2386.6438516009744 2003.8464997004937 1444.5202094431856 0.086061011005143337 -0.11742012905953619
22 RADIAL 4032 3040 2373.4526107483093 1939.4306335278602 1470.2555737213247 0.087553909069831223 -0.121292861037657
23 RADIAL 4032 3040 2379.2506580363074 1976.8570049497071 1469.0672836829362 0.07603511704715564 -0.10373895573157874
24 RADIAL 4032 3040 2377.4443536087588 1992.0366082563344 1494.7293230376213 0.091369297290954554 -0.12377778421986603
25 RADIAL 4032 3040 2362.069601358307 2004.3175938476941 1479.5182043700322 0.10634739841791001 -0.14341764687715949
26 RADIAL 4032 3040 2352.1181935193263 1932.6136127011246 1383.9602526171161 0.1014413145767486 -0.14480432999059104
27 RADIAL 4032 3040 2366.3163117816794 1984.5886591619358 1473.0528970550815 0.10268905805499998 -0.13975940239404522
28 RADIAL 4032 3040 2358.5833053024962 1982.0469130730255 1526.0057253896964 0.10753603702068504 -0.14471274034046391
29 RADIAL 4032 3040 2352.4338207214391 1959.2219732656106 1481.215321664152 0.105295357869008 -0.14829440046179893
30 RADIAL 4032 3040 2368.4492477433696 2039.2399601430375 1519.686916489504 0.098054181983392052 -0.12971336291604382
31 RADIAL 4032 3040 2368.0841347404498 2016.0891270030299 1460.4768814420452 0.12537640147402465 -0.19034873634390972
32 RADIAL 4032 3040 2350.6182675454511 1984.2339881215617 1478.0073383161662 0.11228160772735474 -0.16308361125502552
33 RADIAL 4032 3040 2356.0037967237931 1941.4157852845044 1464.6333200305717 0.109246178231135 -0.15443673954256273
34 RADIAL 4032 3040 2385.797095690285 2090.3341963299472 1513.1414542472946 0.11125871986612869 -0.15633200911837311
35 RADIAL 4032 3040 2355.8374977958779 2050.8154304812051 1525.9294516997343 0.10157276368122679 -0.14403662787130231
36 RADIAL 4032 3040 2364.5076148071726 1950.8536498338772 1414.8842805144814 0.10438431712928253 -0.14051191122966278
37 RADIAL 4032 3040 2354.16637436265 1944.8695582083474 1435.506023331626 0.10820433556363723 -0.14727948188996171
38 RADIAL 4032 3040 2346.9007382120058 2103.7277495124786 1504.8470714527391 0.10642230584349448 -0.14474953571989296
39 RADIAL 4032 3040 2344.3248075888628 1907.0089655538202 1526.9669789325869 0.10742212693021275 -0.15141410338178349
40 RADIAL 4032 3040 2361.4983922700367 2063.9923571230165 1439.4175275464074 0.1233740854250745 -0.19934093206624212
41 RADIAL 4032 3040 2355.0319983599038 2009.665187691729 1532.5818635141361 0.11371716121746957 -0.16565362902513261
42 RADIAL 4032 3040 2353.3338177154928 2003.4147517704798 1501.0926112434749 0.11594987500105128 -0.17065893905089369
43 RADIAL 4032 3040 2355.0758678193183 1961.4245583088993 1487.9767332578372 0.10909468210924833 -0.15455485624968784
44 RADIAL 4032 3040 2357.3516261979366 1982.451449560765 1536.4869117392589 0.11511802083925203 -0.1737164876989232
45 RADIAL 4032 3040 2360.717822038971 1987.8554645850745 1524.3644299109396 0.11403785787618109 -0.17010583653906972
46 RADIAL 4032 3040 2377.506802967333 2055.083181521095 1493.1292426868185 0.11746363374961008 -0.17844561257220282
47 RADIAL 4032 3040 2360.1752023718673 1971.4500161738886 1470.4970253171041 0.11487026245090891 -0.16842466671608514
48 RADIAL 4032 3040 2364.0694031085891 2008.9906654537695 1507.4523505609698 0.10759042848658704 -0.15408286964425458
